ob_time,id,id_type,met_domain_name,version_num,src_id,rec_st_ind,wind_speed_unit_id,src_opr_type,wind_direction,wind_speed,prst_wx_id,past_wx_id_1,past_wx_id_2,cld_ttl_amt_id,low_cld_type_id,med_cld_type_id,hi_cld_type_id,cld_base_amt_id,cld_base_ht,visibility,msl_pressure,cld_amt_id_1,cloud_type_id_1,cld_base_ht_id_1,cld_amt_id_2,cloud_type_id_2,cld_base_ht_id_2,cld_amt_id_3,cloud_type_id_3,cld_base_ht_id_3,cld_amt_id_4,cloud_type_id_4,cld_base_ht_id_4,vert_vsby,air_temperature,dewpoint,wetb_temp,rltv_hum,stn_pres,alt_pres,ground_state_id,q10mnt_mxgst_spd,cavok_flag,cs_hr_sun_dur,wmo_hr_sun_dur,snow_depth,wind_direction_q,wind_speed_q,prst_wx_id_q,past_wx_id_1_q,past_wx_id_2_q,cld_ttl_amt_id_q,low_cld_type_id_q,med_cld_type_id_q,hi_cld_type_id_q,cld_base_amt_id_q,cld_base_ht_q,visibility_q,msl_pressure_q,air_temperature_q,dewpoint_q,wetb_temp_q,ground_state_id_q,cld_amt_id_1_q,cloud_type_id_1_q,cld_base_ht_id_1_q,cld_amt_id_2_q,cloud_type_id_2_q,cld_base_ht_id_2_q,cld_amt_id_3_q,cloud_type_id_3_q,cld_base_ht_id_3_q,cld_amt_id_4_q,cloud_type_id_4_q,cld_base_ht_id_4_q,vert_vsby_q,stn_pres_q,alt_pres_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,snow_depth_q,wind_direction_j,wind_speed_j,prst_wx_id_j,past_wx_id_1_j,past_wx_id_2_j,cld_amt_id_j,cld_ht_j,visibility_j,msl_pressure_j,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,vert_vsby_j,stn_pres_j,alt_pres_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime,drv_hr_sun_dur,drv_hr_sun_dur_q
01/01/2023 20:00,3166,WMO,SYNOP,1,19260,1011,4,5,270,5,NA,NA,NA,8,NA,NA,NA,NA,30,6500,1003.5,8,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,1.5,2.5,88.7,996.5,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 20:04,NA,0,1
01/01/2023 21:00,3166,WMO,SYNOP,1,19260,1011,4,5,270,6,NA,NA,NA,8,NA,NA,NA,NA,30,7500,1004.1,8,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,1,2.2,87.1,997,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 21:04,NA,0,1
01/01/2023 22:00,3166,WMO,SYNOP,1,19260,1011,4,5,270,5,NA,NA,NA,8,NA,NA,NA,NA,30,7500,1004.6,8,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.5,1.8,86.5,997.5,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 22:04,NA,0,1
01/01/2023 23:00,3166,WMO,SYNOP,1,19260,1011,4,5,250,4,NA,NA,NA,8,NA,NA,NA,NA,30,7500,1005,8,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,0.4,1.6,87.4,997.9,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 23:03,NA,0,1
01/02/2023 00:00,3166,WMO,SYNOP,1,19260,1011,4,5,240,4,NA,NA,NA,8,NA,NA,NA,NA,30,7000,1005.4,8,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,0.5,1.6,87.5,998.4,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/02/2023 00:06,NA,0,1
01/02/2023 01:00,3166,WMO,SYNOP,1,19260,1011,4,5,240,4,NA,NA,NA,8,NA,NA,NA,NA,250,7500,1005.7,8,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.3,1.2,90.2,998.6,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/02/2023 01:04,NA,0,1
01/02/2023 02:00,3166,WMO,SYNOP,1,19260,1011,4,5,250,3,NA,NA,NA,8,NA,NA,NA,NA,250,6500,1006.3,8,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0,0.8,91.2,999.2,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/02/2023 02:05,NA,0,1
01/02/2023 03:00,3166,WMO,SYNOP,1,19260,1011,4,5,230,6,NA,NA,NA,8,NA,NA,NA,NA,250,6500,1007.3,8,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,-0.3,0.4,92.1,1000.1,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/02/2023 03:04,NA,0,1
01/02/2023 04:00,3166,WMO,SYNOP,1,19260,1011,4,5,240,5,NA,NA,NA,2,NA,NA,NA,NA,250,4000,1007.9,2,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.6,0,93.4,1000.8,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/02/2023 04:05,NA,0,1
01/02/2023 05:00,3166,WMO,SYNOP,1,19260,1011,4,5,230,5,NA,NA,NA,0,NA,NA,NA,NA,250,5000,1008.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-1.2,-0.5,92.7,1001.5,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/02/2023 05:04,NA,0,1
01/02/2023 06:00,3166,WMO,SYNOP,1,19260,1011,4,5,240,5,NA,NA,NA,0,NA,NA,NA,NA,250,6500,1009.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-1.7,-0.8,90.5,1002.2,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/02/2023 06:05,NA,0,1
01/02/2023 07:00,3166,WMO,SYNOP,1,19260,1011,4,5,240,5,NA,NA,NA,0,NA,NA,NA,NA,250,7500,1010.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-2.2,-1.1,88,1003.1,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/02/2023 07:04,NA,0,1
